SDR	7.7.6
03/08/2008 04:30:00	4.1	0.2	4.6	3.4	4.1	0.3	5.0	3.6	3.9	0.3	4.6	3.4	3.3	0.4	4.2	2.3									79	3	80	260	78	3	68	350					-4.8	0.0	-4.7	-4.9								
03/08/2008 04:40:00	3.7	0.5	4.2	2.6	4.5	0.3	5.0	3.9	4.1	0.3	4.6	3.4	4.0	0.2	4.6	3.4									72	2	73	260	69	1	67	350					-4.6	0.0	-4.2	-4.7								
03/08/2008 04:50:00	3.8	0.3	4.6	3.0	4.5	0.2	4.7	4.1	4.3	0.2	4.6	3.8	4.0	0.3	4.6	3.4									79	3	79	260	70	2	65	350					-4.5	0.1	-4.2	-4.7								
03/08/2008 05:00:00	4.0	0.3	4.6	3.0	3.8	0.6	4.7	2.1	3.8	0.4	4.6	3.0	3.0	0.4	4.2	2.3									92	9	85	260	86	10	71	350					-5.5	0.4	-4.7	-6.2								
03/08/2008 05:10:00	4.1	0.3	4.6	3.4	2.9	0.3	3.6	2.1	3.4	0.2	3.8	2.6	2.8	0.2	3.4	2.3									109	4	107	260	106	1	105	350					-6.5	0.1	-6.0	-6.9								
03/08/2008 05:20:00	3.8	0.3	4.6	3.0	3.6	0.3	4.1	3.0	3.5	0.3	3.8	2.6	3.0	0.4	3.8	2.3									126	3	121	260	117	2	114	350					-6.8	0.0	-6.7	-6.9								
03/08/2008 05:30:00	3.3	0.2	3.8	2.6	3.0	0.2	3.3	2.7	2.9	0.2	3.4	2.6	2.7	0.2	3.0	2.3									129	3	125	260	119	0	117	350					-6.1	0.3	-5.6	-6.7								
03/08/2008 05:40:00	3.8	0.2	4.2	3.0	3.6	0.2	4.1	3.0	3.4	0.2	3.8	2.6	3.0	0.3	3.4	2.3									141	4	140	260	125	5	126	350					-6.1	0.1	-5.6	-6.2								
03/08/2008 05:50:00	3.9	0.3	4.2	3.4	3.9	0.2	4.4	3.3	3.6	0.2	4.2	3.0	3.1	0.2	3.4	2.6									145	4	149	260	139	1	138	350					-6.0	0.0	-5.6	-6.2								
03/08/2008 06:00:00	3.9	0.2	4.6	3.4	4.0	0.3	4.7	3.6	3.7	0.2	4.2	3.4	3.1	0.3	3.8	2.3									146	5	149	260	141	3	144	350					-5.7	0.2	-5.4	-6.2								
03/08/2008 06:10:00	3.6	0.4	4.2	2.6	3.7	0.5	4.4	2.7	3.3	0.4	4.2	2.6	2.9	0.4	3.8	2.3									155	4	149	260	143	6	145	350					-6.1	0.0	-5.8	-6.2								
03/08/2008 06:20:00	3.0	0.2	3.8	2.6	3.2	0.2	3.9	2.7	2.8	0.3	3.4	2.3	2.6	0.3	3.4	1.9									161	5	164	260	144	7	150	350					-6.7	0.1	-6.2	-6.9								
03/08/2008 06:30:00	2.4	0.3	3.4	1.9	2.5	0.3	3.3	1.9	2.3	0.3	3.0	1.5	2.2	0.3	2.6	1.5									150	9	160	260	130	5	139	350					-6.9	0.0	-6.7	-6.9								
03/08/2008 06:40:00	3.1	0.4	3.8	2.3	3.1	0.3	3.6	2.4	2.8	0.3	3.4	1.9	2.5	0.3	3.4	1.9									156	12	164	260	139	9	133	350					-6.9	0.0	-6.7	-6.9								
03/08/2008 06:50:00	2.9	0.3	3.8	1.9	2.8	0.3	3.9	2.1	2.5	0.4	3.4	1.5	2.1	0.3	3.0	1.1									161	7	179	260	141	7	148	350					-6.8	0.0	-6.7	-6.9								
03/08/2008 07:00:00	4.1	0.3	4.6	3.0	4.1	0.4	5.0	2.7	3.5	0.4	4.9	2.6	2.9	0.5	3.8	1.5									177	5	180	260	162	6	171	350					-6.5	0.1	-6.2	-6.7								
03/08/2008 07:10:00	3.6	0.5	4.6	2.3	3.8	0.5	4.7	2.7	3.3	0.5	4.2	1.9	2.8	0.5	3.8	1.9									174	7	176	260	162	8	164	350					-6.3	0.0	-6.2	-6.7								
03/08/2008 07:20:00	3.4	0.5	4.6	2.3	3.6	0.5	4.7	2.4	3.1	0.5	4.2	1.9	2.5	0.5	3.8	1.5									178	8	174	260	164	8	168	350					-6.1	0.0	-6.0	-6.2								
03/08/2008 07:30:00	2.9	0.5	4.6	1.9	3.1	0.5	4.1	1.9	2.6	0.5	3.8	1.1	2.1	0.5	3.0	1.1									177	8	186	260	163	8	167	350					-6.1	0.0	-6.0	-6.2								
03/08/2008 07:40:00	2.4	0.6	3.8	0.7	3.2	0.7	4.4	1.6	2.3	0.6	3.8	1.1	1.9	0.5	3.0	0.4									193	11	210	260	183	11	197	350					-5.9	0.1	-5.8	-6.2								
03/08/2008 07:50:00	2.9	0.5	3.8	1.5	3.3	0.4	4.4	2.4	2.7	0.4	3.8	1.9	2.4	0.3	3.4	1.5									180	6	183	260	168	5	174	350					-5.9	0.0	-5.8	-6.0								
03/08/2008 08:00:00	3.4	0.3	4.2	2.6	3.8	0.3	4.4	3.0	3.2	0.3	3.8	2.3	2.9	0.3	3.8	2.3									174	9	182	260	163	10	168	350					-5.9	0.0	-5.8	-6.0								
03/08/2008 08:10:00	3.1	0.4	4.2	1.9	3.4	0.4	4.4	2.4	2.9	0.4	4.2	1.9	2.6	0.3	3.4	1.9									162	8	171	260	149	7	160	350					-6.0	0.0	-5.8	-6.0								
03/08/2008 08:20:00	3.5	0.4	4.2	2.6	3.8	0.4	4.4	3.0	3.3	0.4	4.2	2.3	3.0	0.4	4.2	2.3									167	5	168	260	156	5	159	350					-5.9	0.1	-5.8	-6.0								
03/08/2008 08:30:00	3.7	0.3	4.2	2.6	4.0	0.3	5.0	3.3	3.4	0.3	4.2	2.6	3.2	0.3	3.8	2.3									170	4	173	260	159	4	164	350					-5.8	0.0	-5.6	-5.8								
03/08/2008 08:40:00	4.0	0.4	4.9	3.0	4.4	0.4	5.3	3.0	3.8	0.4	4.9	2.6	3.5	0.4	4.6	2.3									169	6	169	260	159	8	161	350					-5.5	0.0	-5.6	-5.8								
03/08/2008 08:50:00	4.1	0.4	4.9	3.4	4.5	0.3	5.3	3.6	3.9	0.4	4.9	3.0	3.6	0.5	4.9	2.3									168	5	173	260	157	5	164	350					-5.5	0.0	-5.6	-5.6								
03/08/2008 09:00:00	4.2	0.4	6.1	3.0	4.6	0.3	5.3	3.9	3.9	0.4	4.6	3.0	3.5	0.4	4.6	2.6									179	4	173	260	170	5	171	350					-5.4	0.0	-5.1	-5.6								
03/08/2008 09:10:00	4.0	0.3	4.9	3.0	4.4	0.3	5.0	3.6	3.8	0.3	4.6	3.0	3.5	0.4	4.2	2.6									178	5	183	260	169	5	165	350					-5.3	0.0	-5.1	-5.4								
03/08/2008 09:20:00	3.8	0.5	4.6	2.3	4.2	0.4	5.0	3.0	3.6	0.5	4.6	2.3	3.3	0.5	4.6	1.9									175	7	173	260	167	6	167	350					-5.2	0.0	-5.1	-5.4								
03/08/2008 09:30:00	4.0	0.5	4.9	2.6	4.5	0.5	5.3	3.0	3.8	0.5	4.6	2.3	3.6	0.5	4.6	2.6									181	4	183	260	173	4	168	350					-5.1	0.0	-4.9	-5.1								
03/08/2008 09:40:00	3.5	0.3	4.2	2.6	4.1	0.3	4.7	3.0	3.4	0.4	4.2	1.9	3.2	0.4	4.2	2.3									181	5	170	260	172	5	166	350					-5.0	0.0	-4.9	-5.1								
03/08/2008 09:50:00	2.7	0.6	4.6	1.5	3.8	0.3	4.7	3.0	2.9	0.5	4.2	1.5	2.6	0.5	4.2	1.5									193	5	186	260	186	6	175	350					-4.9	0.0	-4.7	-4.9								
03/08/2008 10:00:00	2.6	0.5	3.8	1.1	3.9	0.3	4.4	3.0	2.9	0.4	4.2	1.9	2.6	0.5	3.8	1.5									195	5	196	260	188	5	183	350					-4.6	0.0	-4.5	-4.7								
03/08/2008 10:10:00	2.8	0.6	4.2	1.5	3.8	0.4	4.7	2.7	3.0	0.5	4.2	1.5	2.7	0.4	3.8	1.5									191	7	196	260	183	7	184	350					-4.5	0.0	-4.5	-4.7								
03/08/2008 10:20:00	2.5	0.5	3.4	1.1	3.2	0.3	4.1	2.1	2.5	0.4	3.4	1.1	2.4	0.3	3.4	1.5									180	8	185	260	169	8	173	350					-4.5	0.0	-4.5	-4.5								
03/08/2008 10:30:00	2.9	0.4	3.8	2.3	3.8	0.3	4.4	3.0	3.0	0.3	4.2	2.3	2.9	0.3	3.8	1.9									180	6	188	260	173	7	182	350					-4.5	0.0	-4.2	-4.7								
